Campaign,Ad Group,Keyword,Match Type,Volume,Competition,Final URL
mb | DA | Search | Kontor København,Kontor | København,"""kontorplads nørrebro""",Phrase,50,HIGH,https://companyons.dk/nordhavn
mb | DA | Search | Kontor København,Kontor | København,"""kontor vesterbro""",Phrase,40,HIGH,https://companyons.dk/nordhavn
mb | DA | Search | Kontor København,Kontor | København,[kontor hotel københavn],Exact,40,HIGH,https://companyons.dk/nordhavn
mb | DA | Search | Kontor København,Kontor | København,"""kontorfællesskab østerbro""",Phrase,40,HIGH,https://companyons.dk/nordhavn
mb | DA | Search | Kontor København,Kontor | København,[kreativt kontorfællesskab københavn],Exact,40,HIGH,https://companyons.dk/nordhavn
mb | DA | Search | Kontor København,Kontor | København,"""kontorfællesskab christianshavn""",Phrase,40,HIGH,https://companyons.dk/nordhavn
mb | DA | Search | Kontor København,Kontor | København,"""kontorplads christianshavn""",Phrase,40,HIGH,https://companyons.dk/nordhavn
mb | DA | Search | Kontor København,Kontor | København,"""mødelokaler vesterbro""",Phrase,30,MEDIUM,https://companyons.dk/nordhavn
mb | DA | Search | Kontor København,Kontor | København,"""kontorpladser københavn""",Phrase,20,HIGH,https://companyons.dk/nordhavn
mb | DA | Search | Kontor København,Kontor | Nordhavn,"""kontor nordhavn""",Phrase,30,MEDIUM,https://companyons.dk/nordhavn
mb | DA | Search | Kontor København,Kontor | Nordhavn,"""kontorfællesskab nordhavn""",Phrase,20,HIGH,https://companyons.dk/nordhavn
mb | DA | Search | Kontorfællesskab,Kontorfællesskab | Danmark,"""kontorfællesskab""",Phrase,720,MEDIUM,https://companyons.dk/
mb | DA | Search | Kontorfællesskab,Kontorfællesskab | Danmark,"""coworking""",Phrase,480,LOW,https://companyons.dk/
mb | DA | Search | Kontorfællesskab,Kontorfællesskab | Danmark,"""kontorfællesskaber""",Phrase,90,MEDIUM,https://companyons.dk/
mb | DA | Search | Kontorfællesskab,Kontorfællesskab | Danmark,"""delekontor""",Phrase,10,HIGH,https://companyons.dk/
mb | DA | Search | Kontorhotel,Kontorhotel | Danmark,"""kontorhotel""",Phrase,480,MEDIUM,https://companyons.dk/
mb | DA | Search | Kontorhotel,Kontorhotel | Danmark,"""kontor hotel""",Phrase,140,MEDIUM,https://companyons.dk/
mb | DA | Search | Kontorhotel,Kontorhotel | Danmark,"""kontorhoteller""",Phrase,110,LOW,https://companyons.dk/
mb | DA | Search | Kontorhotel,Kontorhotel | Danmark,"""kontorhotel valby""",Phrase,20,HIGH,https://companyons.dk/
mb | DA | Search | Kontorleje,Kontorleje | Danmark,[kontor til leje],Exact,390,MEDIUM,https://companyons.dk/ledige-lejemal/
mb | DA | Search | Kontorleje,Kontorleje | Danmark,"""lej kontor""",Phrase,390,MEDIUM,https://companyons.dk/ledige-lejemal/
mb | DA | Search | Kontorleje,Kontorleje | Danmark,"""kontorlokaler leje""",Phrase,210,LOW,https://companyons.dk/ledige-lejemal/
mb | DA | Search | Kontorleje,Kontorleje | Danmark,"""kontorlokaler""",Phrase,210,LOW,https://companyons.dk/ledige-lejemal/
mb | DA | Search | Kontorleje,Kontorleje | Danmark,"""kontorlokale""",Phrase,210,LOW,https://companyons.dk/ledige-lejemal/
mb | DA | Search | Kontorleje,Kontorleje | Danmark,[kontorlokaler til leje],Exact,210,LOW,https://companyons.dk/ledige-lejemal/
mb | DA | Search | Kontorleje,Kontorleje | Danmark,[leje af kontorlokaler],Exact,210,LOW,https://companyons.dk/ledige-lejemal/
mb | DA | Search | Kontorleje,Kontorleje | Danmark,"""kontor leje""",Phrase,170,MEDIUM,https://companyons.dk/ledige-lejemal/
mb | DA | Search | Kontorleje,Kontorleje | Danmark,"""kontorplads""",Phrase,140,HIGH,https://companyons.dk/ledige-lejemal/
mb | DA | Search | Kontorleje,Kontorleje | Danmark,"""kontorlejemål""",Phrase,110,LOW,https://companyons.dk/ledige-lejemal/
mb | DA | Search | Kontorleje,Kontorleje | Danmark,"""kontor udlejning""",Phrase,110,LOW,https://companyons.dk/ledige-lejemal/
mb | DA | Search | Kontorleje,Kontorleje | Danmark,"""kontor udlejes""",Phrase,110,LOW,https://companyons.dk/ledige-lejemal/
mb | DA | Search | Kontorleje,Kontorleje | Danmark,[leje af kontor],Exact,90,MEDIUM,https://companyons.dk/ledige-lejemal/
mb | DA | Search | Kontorleje,Kontorleje | Danmark,[leje af kontorer],Exact,90,MEDIUM,https://companyons.dk/ledige-lejemal/
mb | DA | Search | Kontorleje,Kontorleje | Danmark,[leje af kontorplads],Exact,70,MEDIUM,https://companyons.dk/ledige-lejemal/
mb | DA | Search | Kontorleje,Kontorleje | Danmark,[lej en kontorplads],Exact,70,MEDIUM,https://companyons.dk/ledige-lejemal/
mb | DA | Search | Kontorleje,Kontorleje | Danmark,"""leje kontorplads""",Phrase,70,MEDIUM,https://companyons.dk/ledige-lejemal/
mb | DA | Search | Kontorleje,Kontorleje | Danmark,[kontorer til leje],Exact,70,LOW,https://companyons.dk/ledige-lejemal/
mb | DA | Search | Kontorleje,Kontorleje | Danmark,"""kontorudlejning""",Phrase,70,LOW,https://companyons.dk/ledige-lejemal/
mb | DA | Search | Kontorleje,Kontorleje | Danmark,"""lej kontorplads""",Phrase,50,MEDIUM,https://companyons.dk/ledige-lejemal/
mb | DA | Search | Kontorleje,Kontorleje | Danmark,[lej et kontor],Exact,50,HIGH,https://companyons.dk/ledige-lejemal/
